R0,amplitude,gamma,mu,sigma,rho,psi,iota,S_0,E_0,R_0,I_0,spanLogLik,LogLik
32.68318474,0.520802895,73.05,0.063325268,45.66,0.486661591,0.395955346,4.348877798,0.018294732,0.000734998,0.980965578,4.69E-06,33.76306315,-3861.716514
37.80645819,0.522582605,73.05,0.17882433,45.66,0.591706137,0.396978902,5.032673682,0.138353468,0.031088344,0.830175681,0.000382506,13.52794415,-3861.730827
35.35197997,0.490122562,73.05,0.131205057,45.66,0.544783141,0.393526217,3.146424559,0.547770389,0.032873182,0.374580014,0.044776415,26.10905118,-3861.909516
38.87811036,0.474084095,73.05,0.200563811,45.66,0.630134394,0.388782565,4.55E-07,0.241055614,0.001802626,0.756954759,0.000187002,37.31728464,-3862.053309
38.31385704,0.498740759,73.05,0.177761246,45.66,0.591819699,0.383122152,2.448230603,0.002727925,0.001840232,0.995091113,0.00034073,20.55498933,-3862.087678
44.17157763,0.482308549,73.05,0.301210996,45.66,0.678961827,0.394740811,2.327474414,0.947330937,1.09E-06,0.052667921,4.91E-08,20.25393587,-3862.21687
37.33394811,0.518798466,73.05,0.15895231,45.66,0.569838248,0.379826321,4.436583844,4.18E-05,3.72E-06,0.999637874,0.000316629,27.24807551,-3862.347217
36.81899797,0.524083199,73.05,0.158981494,45.66,0.598176367,0.372597885,5.989362908,0.008832665,0.00213577,0.040467339,0.948564226,17.97431755,-3862.35149
39.76459977,0.520369987,73.05,0.196534693,45.66,0.591721725,0.387130781,2.438326489,0.003354213,0.000654023,0.991344508,0.004647256,23.86229194,-3862.42039
38.36952733,0.513256569,73.05,0.186807679,45.66,0.608008439,0.368951114,4.104251277,0.994373438,0.000197961,0.00535157,7.70E-05,23.8511596,-3862.447286
41.88022813,0.506286158,73.05,0.255708485,45.66,0.638844994,0.383876184,3.248248956,0.751389757,1.21E-06,0.248608908,1.27E-07,32.98706043,-3862.60096
37.84898772,0.514981359,73.05,0.161322025,45.66,0.547739667,0.392537965,4.788501093,0.998338057,3.32E-08,0.001582526,7.94E-05,33.01949604,-3862.630629
42.81958071,0.519232342,73.05,0.260172468,45.66,0.698914855,0.353964231,2.120445237,0.036730986,1.47E-05,0.963212608,4.17E-05,42.72922295,-3862.736685
42.65687673,0.503688068,73.05,0.261653014,45.66,0.627079329,0.436436182,3.131138095,0.24901357,0.174277913,0.125387991,0.451320526,13.08007498,-3862.770866
30.08172347,0.542332776,73.05,0.007488433,45.66,0.434031123,0.431028952,6.298597874,0.002874784,1.05E-06,0.997124163,1.09E-10,16.46419238,-3862.814669
30.87445853,0.51655959,73.05,0.035888247,45.66,0.449134608,0.406372148,7.253163132,0.001206223,1.36E-10,0.893817451,0.104976325,37.25807132,-3862.912787
34.8815185,0.518027015,73.05,0.110920618,45.66,0.519548883,0.396257101,4.154485324,0.53718661,0.010976132,0.45183123,6.03E-06,38.05251361,-3862.926367
29.28839045,0.49424558,73.05,0.000177212,45.66,0.447566202,0.366888723,6.578063773,0.999468399,0.000187407,0.000335532,8.66E-06,49.26493879,-3863.036565
37.55194412,0.500991346,73.05,0.167705479,45.66,0.608924781,0.367350425,2.351350496,0.992034268,3.31E-06,0.007958902,3.52E-06,24.13511011,-3863.120503
42.55996132,0.491532744,73.05,0.2638859,45.66,0.641432498,0.408101002,1.610854514,0.905437819,0.094139881,0.00039224,3.01E-05,33.3284123,-3863.227598
33.0422018,0.513277695,73.05,0.087761218,45.66,0.525794979,0.377010874,6.997888315,0.003084832,1.56E-11,0.996915168,2.50E-10,25.49069971,-3863.268486
37.81696806,0.533079523,73.05,0.164329148,45.66,0.587017994,0.393461711,4.153261195,0.048857579,0.771336065,0.17365323,0.006153127,14.23123362,-3863.456533
37.26324842,0.518554715,73.05,0.151063947,45.66,0.553155821,0.369071586,4.070930026,0.026927868,0.963609612,0.008721019,0.000741501,49.97621963,-3863.5461
33.80226225,0.489599049,73.05,0.093381973,45.66,0.478983732,0.406631522,6.554458462,0.816526295,0.000427736,0.183033229,1.27E-05,54.39346793,-3863.575329
41.17813045,0.498074401,73.05,0.242259754,45.66,0.639271221,0.390867221,2.866101358,0.783075262,3.09E-07,0.216922427,2.00E-06,20.28499268,-3863.588292
38.31339416,0.519131249,73.05,0.186819605,45.66,0.609860093,0.36158918,3.364713406,0.189750339,3.99E-07,0.810248852,4.10E-07,39.6365854,-3863.590751
31.92500845,0.494583669,73.05,0.062806875,45.66,0.49465445,0.398774664,6.323679073,0.00010304,0.000357963,0.99953897,2.65E-08,16.50604026,-3863.663184
31.32644476,0.508332092,73.05,0.031762263,45.66,0.452752228,0.380573166,4.309691779,0.000314159,2.29E-05,0.996478248,0.003184685,64.58407714,-3863.665282
36.82354052,0.542811058,73.05,0.151944133,45.66,0.613966716,0.357658515,4.229003119,0.016991984,7.63E-06,0.983000277,1.08E-07,17.46010304,-3863.677474
38.44098793,0.484104106,73.05,0.179154898,45.66,0.586045221,0.371412381,1.798004549,0.691923147,0.296953483,0.011121073,2.30E-06,49.00394464,-3863.685952
33.09881333,0.515410665,73.05,0.068578179,45.66,0.47858641,0.396249901,5.294641688,0.363515727,0.280322582,0.356161611,7.99E-08,39.88075781,-3863.735715
30.52544863,0.527881702,73.05,0.023120974,45.66,0.461621772,0.403906256,5.381408323,0.48902306,0.000564634,0.510366454,4.59E-05,20.98941302,-3863.78071
31.17616564,0.519073249,73.05,0.037403192,45.66,0.475940942,0.386278402,6.512820057,0.001634592,8.67E-12,0.968900201,0.029465207,25.81184391,-3863.817113
38.26902024,0.500586766,73.05,0.159232548,45.66,0.587651646,0.370588929,9.34E-08,0.021144957,9.90E-05,0.9787558,2.16E-07,40.6662259,-3863.977312
41.6464268,0.489810155,73.05,0.257950399,45.66,0.777251741,0.353994023,1.889039283,4.99E-05,0.000169533,0.999780445,1.18E-07,20.26644368,-3864.032455
29.00919153,0.488987467,73.05,0.000490029,45.66,0.428703158,0.412673401,7.384102999,0.021096818,0.000142183,0.978760522,4.77E-07,32.72434413,-3864.058243
29.44811586,0.526124605,73.05,0.003722488,45.66,0.476368442,0.389722095,7.841390126,0.011461482,2.01E-13,0.092892234,0.895646283,19.70528881,-3864.140333
29.24129369,0.527313803,73.05,0.004567111,45.66,0.445341569,0.402088084,8.542893795,0.005434716,0.001723655,0.988031293,0.004810336,21.20753911,-3864.144587
37.81262968,0.496681958,73.05,0.174214398,45.66,0.599079707,0.371019749,3.400359457,0.947798632,0.014007659,0.035299792,0.002893917,24.34704168,-3864.176555
41.21208721,0.479336652,73.05,0.227134602,45.66,0.591204585,0.420071726,0.417944945,0.870883253,1.43E-06,0.129114434,8.85E-07,51.26360229,-3864.203021
30.84989077,0.529076687,73.05,0.040212044,45.66,0.474889077,0.408715279,7.42028801,8.61E-06,3.67E-05,0.999666159,0.000288484,22.32981717,-3864.232339
32.90629136,0.505680813,73.05,0.078362236,45.66,0.543682384,0.360596853,3.850245722,0.999012934,2.61E-07,0.000986439,3.66E-07,11.58011991,-3864.496812
38.79414795,0.502149257,73.05,0.188031363,45.66,0.568783741,0.422163812,3.351522469,0.997766206,2.89E-08,0.002233093,6.73E-07,9.048452023,-3864.528778
46.71845716,0.501816054,73.05,0.329380802,45.66,0.819719624,0.356622586,0.212383812,0.975396939,3.90E-05,0.024562996,1.05E-06,15.88389627,-3864.586677
44.35736027,0.537027115,73.05,0.2790078,45.66,0.691389021,0.379724208,2.529023101,0.018412801,0.166167589,0.76806497,0.04735464,21.00628668,-3864.676776
38.26373981,0.477490672,73.05,0.190303944,45.66,0.623223237,0.360785934,3.555406052,0.982303124,0.007820907,0.005704589,0.004171379,18.62893186,-3864.752985
42.9532779,0.506023082,73.05,0.255455545,45.66,0.671081184,0.367951045,3.94E-07,0.001631195,0.00146741,0.99689621,5.18E-06,53.62953634,-3864.796866
42.19224571,0.497300217,73.05,0.238095983,45.66,0.635415213,0.394439437,0.365936546,4.85E-06,0.000149705,0.999845408,3.57E-08,23.99804021,-3864.818471
30.1188783,0.50061657,73.05,0.023286626,45.66,0.486832907,0.36598594,5.426030501,0.000657275,0.005671805,0.991525569,0.002145351,40.84203061,-3864.886081
41.00957543,0.536613612,73.05,0.216511285,45.66,0.627148954,0.366531391,2.395102868,6.92E-08,1.01E-07,0.999999829,1.89E-11,46.13197021,-3864.914873
40.69292377,0.507538331,73.05,0.21744972,45.66,0.671501268,0.346311976,1.411421678,0.973621103,1.52E-06,0.026374178,3.20E-06,20.96436834,-3864.915009
38.41880863,0.496150851,73.05,0.19448853,45.66,0.583885677,0.400671959,3.167719819,0.876415424,0.110433976,0.013079859,7.07E-05,22.69687148,-3865.041895
31.08008285,0.502190812,73.05,0.034914923,45.66,0.502478239,0.379525305,3.015996277,0.022174585,1.98E-05,0.97779479,1.08E-05,11.46282284,-3865.154391
32.89947144,0.511489328,73.05,0.060078337,45.66,0.5173652,0.355087446,2.892986644,0.002370809,6.26E-14,0.065116222,0.932512969,39.86305881,-3865.159302
32.17701567,0.491970327,73.05,0.072342568,45.66,0.490543019,0.390896359,4.803798197,0.006802217,1.89E-10,0.993197781,1.07E-09,32.58387789,-3865.163068
30.8188936,0.524892084,73.05,0.036781524,45.66,0.459784064,0.410961302,8.142514839,3.87E-05,2.41E-07,0.99996106,2.34E-10,24.75835795,-3865.166142
32.24920657,0.531497521,73.05,0.060543831,45.66,0.51455641,0.372588896,6.071567726,0.985504975,0.00707781,0.006416038,0.001001177,23.61100607,-3865.181711
42.16909775,0.483212568,73.05,0.249098721,45.66,0.706963155,0.354922391,0.000341242,5.71E-05,8.73E-06,0.998372664,0.001561471,36.40981436,-3865.253804
49.84725265,0.522039767,73.05,0.413274273,45.66,0.884023396,0.371941425,1.952005096,0.069409396,2.34E-11,0.225534341,0.705056262,26.57147258,-3865.324807
34.43519457,0.540757521,73.05,0.102990705,45.66,0.509494801,0.410776551,6.441695695,0.079205011,0.001576605,0.894728622,0.024489762,24.31975989,-3865.34932
39.3312099,0.498225333,73.05,0.209951431,45.66,0.647101776,0.34875607,4.055566667,0.000416801,0.003771133,0.857607072,0.138204994,24.08062363,-3865.360048
40.27350857,0.496766964,73.05,0.216884792,45.66,0.625924067,0.38744223,2.786375304,0.515108243,0.46893056,0.015936392,2.48E-05,14.97060238,-3865.378911
32.25280212,0.581536978,73.05,0.047980399,45.66,0.506792058,0.383578304,6.380568392,0.080124798,2.59E-12,0.305062528,0.614812675,27.88581686,-3865.513178
32.90121026,0.516387444,73.05,0.065746474,45.66,0.462213989,0.418010826,5.606676468,0.002292012,0.003234677,0.994332897,0.000140414,23.17735043,-3865.580237
43.24995093,0.531452345,73.05,0.260816963,45.66,0.633183158,0.39521689,3.214210163,0.460163299,0.014091008,0.52574499,7.03E-07,36.31088651,-3865.589646
30.35185752,0.529000981,73.05,0.028921319,45.66,0.451088351,0.425014422,7.332589582,0.000137986,0.03825336,0.229800147,0.731808507,18.57452442,-3865.691003
31.44267514,0.511416183,73.05,0.047888454,45.66,0.477766906,0.392418858,5.974579126,0.971564246,0.000121884,0.028299445,1.44E-05,30.03376068,-3865.812401
46.56300665,0.501793212,73.05,0.328341311,45.66,0.71773902,0.379839392,1.78E-05,0.001598912,0.996105489,1.30E-05,0.002282641,37.5419933,-3865.821516
36.88548549,0.520946702,73.05,0.143551596,45.66,0.555537329,0.376719304,2.068528338,0.122438132,1.01E-09,0.633603563,0.243958304,28.36472448,-3865.86657
35.00698624,0.51685686,73.05,0.114298032,45.66,0.522418742,0.399623965,5.030727502,0.963498688,0.036454404,4.63E-05,6.01E-07,12.56283277,-3865.978265
31.51955194,0.495440501,73.05,0.046314788,45.66,0.461778205,0.439841806,4.494389212,1.47E-05,1.22E-08,0.983756978,0.016228341,8.2760274,-3865.99679
34.0838145,0.494859897,73.05,0.105756849,45.66,0.535170481,0.37749441,5.581635749,0.008836169,0.295544908,0.69561853,3.93E-07,29.22027795,-3866.282356
32.16699948,0.529561171,73.05,0.050656547,45.66,0.466121016,0.400633247,6.289069715,0.209609777,2.23E-11,0.630756053,0.159634171,32.26480634,-3866.298062
38.14476942,0.502145552,73.05,0.169173314,45.66,0.553808378,0.393033458,2.151556822,0.453067036,0.038927962,0.507921283,8.37E-05,33.72078317,-3866.306599
43.24259485,0.51446972,73.05,0.274625771,45.66,0.667646208,0.385250235,2.785052682,0.605217409,7.65E-06,0.394774835,1.03E-07,18.75614357,-3866.307571
