"R0","amplitude","gamma","mu","sigma","rho","psi","alpha","iota","sigmaSE","cohort","S_0","E_0","R_0","I_0","spanLogLik","LogLik"
32.2792572065074,0.328547404796377,43.1762564265377,0.0703787203007044,38.3261881428416,0.56369459651208,0.0549625374436606,0.98,4.5876,0.07,1,0.0312122156203833,2.73215315061519e-05,0.968241668540168,0.000518794307942988,2.38929386659947,-3273.10541120154
28.1093567549517,0.39155251085836,44.4104060614167,0.0222346527238619,37.0220179200106,0.51744278029017,0.0508428056394193,0.98,4.5876,0.07,1,0.0401494436624267,1.14747442899241e-06,0.95984940132945,7.53369471917203e-09,3.31757981402643,-3273.44252010822
25.3730451625784,0.334437483034045,43.9786666464873,0.0862111039053027,49.0948568146037,0.613171288914676,0.0482848336577208,0.997558594,4.149414063,0.059277344,0.986816406,0.049319211725357,4.54150545681117e-06,0.950563905432581,0.000112341336604907,2.64997498497087,-3273.72200198493
24.3676066322732,0.326638372717424,42.2665724556478,0.000615891808875118,43.1619036220113,0.486606974103656,0.0541013443495395,0.989990234,4.554199219,0.069482422,0.943115234,0.051730918445445,2.18239232199174e-08,0.948256449844154,1.26098864779101e-05,2.55153782508341,-3273.8980917237
30.6269297396831,0.377122683218921,42.903239842273,0.0112139275577931,35.918486918537,0.496165799922325,0.0679213111166018,0.98,4.5876,0.07,1,0.0728054558080828,2.78698951212364e-08,0.92719441117093,1.05151091614043e-07,1.84601216247302,-3273.90160591057
28.1984660982657,0.287817517767814,49.9417340776512,0.0110568690533958,38.2995848056336,0.499417019999037,0.0418520768440228,0.98,4.5876,0.07,1,0.0287161684005192,3.81378187594527e-07,0.971266513570671,1.69366506222084e-05,0.962851618508921,-3274.6086067016
28.419777923707,0.36035258693971,41.0036701253177,0.00853163582452364,41.7492525286291,0.487948330119917,0.0524461799590317,0.98,4.5876,0.07,1,0.314557106406282,0.0816272326478776,0.0324949798738561,0.571320681071984,5.99987841375059,-3274.65592898278
30.5089694273761,0.308922096973477,42.9026295033821,0.14782529050546,43.9178240702003,0.690792893299049,0.0574707097892969,0.997802734,4.476074219,0.061669922,0.982177734,0.09158276516608,9.82776265506713e-08,0.908416983511089,1.53045204230456e-07,4.44635648692201,-3274.69696879231
28.3346190600557,0.405529748913231,47.010752345975,0.00870004341822323,34.40110289325,0.497427673974888,0.0544329433239614,0.989746094,4.821289063,0.073339844,0.963378906,0.985913323926534,1.3501895436998e-05,0.0140731605144913,1.36635377926371e-08,5.53718928131184,-3274.75103100717
30.7113924030296,0.304072669914504,49.5079124283486,0.0947295794848043,35.8090111912231,0.603348622459067,0.044759189129149,0.989990234,4.554199219,0.069482422,0.943115234,0.0167616014906339,5.4369564644649e-08,0.983232071601949,6.27253785220216e-06,2.71149696515613,-3274.81129368162
