"R0","amplitude","gamma","mu","sigma","rho","psi","S_0","E_0","R_0","I_0","LogLik"
30.9177203629919,0.321278032508611,73.05,0.101397760272462,45.66,0.572202919269451,0.90583070007041,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.09106944948
30.9140048618917,0.321117564029706,73.05,0.101305495034144,45.66,0.5711036783757,0.907383117394643,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.09111743653
30.9172300678975,0.321232981094726,73.05,0.101400966383956,45.66,0.572363033081257,0.905404616915543,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.09116497488
30.9155922902596,0.321211207003952,73.05,0.101331481180326,45.66,0.572196006653385,0.905404616915542,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.09132262542
30.9150216285507,0.321131998917107,73.05,0.101331707724696,45.66,0.572036445600017,0.905419640134938,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.09150036883
30.9194027373249,0.321300779625414,73.05,0.101480770745055,45.66,0.572530944036245,0.90594312702874,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.09189310026
30.9141387049892,0.321039138162046,73.05,0.101354273342057,45.66,0.571047419332574,0.908243755001596,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.09190223098
30.9151498635449,0.321021001605718,73.05,0.101405084942832,45.66,0.572224977219014,0.905404616915543,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.09199752811
30.9202108879777,0.321240164209033,73.05,0.101541586845017,45.66,0.572409941433607,0.905404616915543,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.09222713447
30.911864554077,0.321159755399599,73.05,0.101180565620483,45.66,0.572369847458784,0.90434619861785,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.09226627733
30.9154268359003,0.321309993379099,73.05,0.101270893156207,45.66,0.57240217935109,0.906499993051909,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.09257288842
30.9193563698961,0.321217619087181,73.05,0.101505885440967,45.66,0.570662895348744,0.909443384420317,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.09290849831
30.9174790646892,0.321324546027004,73.05,0.101388197310145,45.66,0.572496087695906,0.905038515462672,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.09306755441
30.9179409846369,0.321212357310377,73.05,0.101467524218868,45.66,0.573578351905886,0.905039572934336,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.09475049443
30.9206610289088,0.321371234138262,73.05,0.101520185050946,45.66,0.574819857409048,0.902486074185255,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.09804350234
30.9189771780731,0.32138429091503,73.05,0.101431080387892,45.66,0.574538165825024,0.902665424309829,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.09821704992
30.9022188587878,0.321129038069476,73.05,0.100725219576468,45.66,0.57153104462821,0.905038515462675,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.10045626425
30.9255173691141,0.321315767398848,73.05,0.101765558213051,45.66,0.574819857409048,0.902518799774006,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.10117431131
30.901652289458,0.321012604966788,73.05,0.100745915343885,45.66,0.571968718761871,0.903604957874804,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.10117470356
30.909689903338,0.320910101578188,73.05,0.101169842757103,45.66,0.567899358322659,0.911999929507578,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.10185414754
30.9171939613084,0.321755746205628,73.05,0.101123572513097,45.66,0.572802033402963,0.906360848505445,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.10270498844
30.9341322094816,0.321626660361267,73.05,0.102017527779857,45.66,0.571556058223847,0.909150707047091,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.10271171084
30.9044052974794,0.320953723587296,73.05,0.100916772678083,45.66,0.568705376205052,0.912641007453552,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.10284160124
30.935684224492,0.321534637883755,73.05,0.102134808238228,45.66,0.572568024992406,0.906311137376908,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.1030527293
30.919368320067,0.321264467417993,73.05,0.101493310665883,45.66,0.574709166125786,0.90014921489811,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.10319137953
30.9157528121665,0.321136419260554,73.05,0.10136535547782,45.66,0.573396854453028,0.90014921489811,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.10339587613
30.9197453854559,0.321395318727724,73.05,0.101447142592851,45.66,0.575399427733568,0.90014921489811,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.10384401448
30.9263799223265,0.321081328979854,73.05,0.101907147540304,45.66,0.569128571692127,0.910390400820712,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.10478167683
30.8994199570964,0.320920237823668,73.05,0.100659526586549,45.66,0.568849669133687,0.908549672073744,0.160386796,0.000794824,0.838816006,2.37e-06,-4234.10494459141
